Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
6037400302,14000US06037400302,Census Tract 4003.02,"Census Tract 4003.02, Los Angeles County, California",ca,140,0,ACSSF,4933,,,,,6,37,,,,400302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137,32,50,70,57,33,55,14,8,13,39,164,252,109,78,103,60,2.81,4.4,6.16,5.01,2.9,4.84,1.23,0.7,1.14,3.43,14.42,22.16,9.59,6.86,9.06,5.28
6037400304,14000US06037400304,Census Tract 4003.04,"Census Tract 4003.04, Los Angeles County, California",ca,140,0,ACSSF,4934,,,,,6,37,,,,400304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563,188,60,167,64,71,38,26,84,129,263,296,381,280,217,176,123,7.34,2.34,6.52,2.5,2.77,1.48,1.01,3.28,5.03,10.26,11.55,14.87,10.92,8.47,6.87,4.8
6037400402,14000US06037400402,Census Tract 4004.02,"Census Tract 4004.02, Los Angeles County, California",ca,140,0,ACSSF,4935,,,,,6,37,,,,400402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413,23,0,50,116,39,40,61,16,0,19,135,159,107,199,153,296,1.63,0,3.54,8.21,2.76,2.83,4.32,1.13,0,1.34,9.55,11.25,7.57,14.08,10.83,20.95
6037400403,14000US06037400403,Census Tract 4004.03,"Census Tract 4004.03, Los Angeles County, California",ca,140,0,ACSSF,4936,,,,,6,37,,,,400403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338,48,17,61,25,29,41,33,25,33,42,104,168,286,87,203,136,3.59,1.27,4.56,1.87,2.17,3.06,2.47,1.87,2.47,3.14,7.77,12.56,21.38,6.5,15.17,10.16
6037400404,14000US06037400404,Census Tract 4004.04,"Census Tract 4004.04, Los Angeles County, California",ca,140,0,ACSSF,4937,,,,,6,37,,,,400404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,10,31,41,0,46,0,23,30,0,80,39,142,287,234,156,353,0.68,2.11,2.79,0,3.12,0,1.56,2.04,0,5.43,2.65,9.65,19.5,15.9,10.6,23.98
6037400501,14000US06037400501,Census Tract 4005.01,"Census Tract 4005.01, Los Angeles County, California",ca,140,0,ACSSF,4938,,,,,6,37,,,,400501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,11,24,17,0,32,26,11,8,10,24,18,62,55,71,74,253,1.58,3.45,2.44,0,4.6,3.74,1.58,1.15,1.44,3.45,2.59,8.91,7.9,10.2,10.63,36.35
6037400602,14000US06037400602,Census Tract 4006.02,"Census Tract 4006.02, Los Angeles County, California",ca,140,0,ACSSF,4939,,,,,6,37,,,,400602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281,17,22,25,76,47,26,73,59,36,122,217,214,117,80,120,30,1.33,1.72,1.95,5.93,3.67,2.03,5.7,4.61,2.81,9.52,16.94,16.71,9.13,6.25,9.37,2.34
6037400603,14000US06037400603,Census Tract 4006.03,"Census Tract 4006.03, Los Angeles County, California",ca,140,0,ACSSF,4940,,,,,6,37,,,,400603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709,22,54,15,56,57,60,89,25,87,151,221,206,265,155,124,122,1.29,3.16,0.88,3.28,3.34,3.51,5.21,1.46,5.09,8.84,12.93,12.05,15.51,9.07,7.26,7.14
6037400604,14000US06037400604,Census Tract 4006.04,"Census Tract 4006.04, Los Angeles County, California",ca,140,0,ACSSF,4941,,,,,6,37,,,,400604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,69,35,33,64,51,0,42,42,27,48,52,165,121,109,161,140,5.95,3.02,2.85,5.52,4.4,0,3.62,3.62,2.33,4.14,4.49,14.24,10.44,9.4,13.89,12.08
6037400800,14000US06037400800,Census Tract 4008,"Census Tract 4008, Los Angeles County, California",ca,140,0,ACSSF,4942,,,,,6,37,,,,400800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,37,36,20,53,80,47,50,43,36,41,60,119,113,99,145,89,3.46,3.37,1.87,4.96,7.49,4.4,4.68,4.03,3.37,3.84,5.62,11.14,10.58,9.27,13.58,8.33
