Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008
6037604100,14000US06037604100,Census Tract 6041,"Census Tract 6041, Los Angeles County, California",ca,140,0,ACSSF,5892,,,,,6,37,,,,604100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4993,1225,1563,1488,588,129,0,0,24.53,31.3,29.8,11.78,2.58,0,0
6037609900,14000US06037609900,Census Tract 6099,"Census Tract 6099, Los Angeles County, California",ca,140,0,ACSSF,5893,,,,,6,37,,,,609900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,406,455,320,230,81,28,12,26.5,29.7,20.89,15.01,5.29,1.83,0.78
6037620001,14000US06037620001,Census Tract 6200.01,"Census Tract 6200.01, Los Angeles County, California",ca,140,0,ACSSF,5894,,,,,6,37,,,,620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910,124,365,960,1053,255,116,37,4.26,12.54,32.99,36.19,8.76,3.99,1.27
6037620002,14000US06037620002,Census Tract 6200.02,"Census Tract 6200.02, Los Angeles County, California",ca,140,0,ACSSF,5895,,,,,6,37,,,,620002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,91,204,744,857,429,52,65,3.73,8.35,30.47,35.09,17.57,2.13,2.66
6037620101,14000US06037620101,Census Tract 6201.01,"Census Tract 6201.01, Los Angeles County, California",ca,140,0,ACSSF,5896,,,,,6,37,,,,620101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3830,102,530,1143,1227,536,202,90,2.66,13.84,29.84,32.04,13.99,5.27,2.35
6037620102,14000US06037620102,Census Tract 6201.02,"Census Tract 6201.02, Los Angeles County, California",ca,140,0,ACSSF,5897,,,,,6,37,,,,620102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666,126,407,797,783,390,119,44,4.73,15.27,29.89,29.37,14.63,4.46,1.65
6037620201,14000US06037620201,Census Tract 6202.01,"Census Tract 6202.01, Los Angeles County, California",ca,140,0,ACSSF,5898,,,,,6,37,,,,620201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,5,39,161,647,288,141,64,0.37,2.9,11.97,48.1,21.41,10.48,4.76
6037620301,14000US06037620301,Census Tract 6203.01,"Census Tract 6203.01, Los Angeles County, California",ca,140,0,ACSSF,5899,,,,,6,37,,,,620301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3148,36,275,526,1227,718,295,71,1.14,8.74,16.71,38.98,22.81,9.37,2.26
6037620303,14000US06037620303,Census Tract 6203.03,"Census Tract 6203.03, Los Angeles County, California",ca,140,0,ACSSF,5900,,,,,6,37,,,,620303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2989,104,200,268,1375,468,474,100,3.48,6.69,8.97,46,15.66,15.86,3.35
6037620305,14000US06037620305,Census Tract 6203.05,"Census Tract 6203.05, Los Angeles County, California",ca,140,0,ACSSF,5901,,,,,6,37,,,,620305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4333,30,258,794,1969,814,337,131,0.69,5.95,18.32,45.44,18.79,7.78,3.02
